Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0013274-T01-IM5	2.92E-01	2.77E-01	1.87E-01	1.36E-01
P-0013318-T01-IM5	1.90E-01	2.07E-01	2.05E-01	2.26E-01
P-0013341-T01-IM5	4.58E-01	5.11E-01	5.27E-01	1.51E-01
P-0013343-T01-IM5	4.41E-01	4.83E-01	4.60E-01	1.60E-01
P-0013356-T01-IM5	6.54E-01	6.84E-01	6.34E-01	1.49E-01
P-0013383-T01-IM5	8.99E-01	1.02E+00	6.65E-01	2.26E-01
P-0013389-T01-IM5	1.35E-01	2.41E-01	2.53E-01	1.86E-01
P-0013413-T01-IM5	6.35E-01	6.53E-01	4.99E-01	2.59E-01
P-0013448-T01-IM5	2.99E-01	3.03E-01	2.64E-01	2.01E-01
P-0013451-T01-IM5	4.64E-02	9.90E-02	1.35E-01	1.48E-01
P-0013481-T01-IM5	2.81E-01	2.96E-01	2.50E-01	1.45E-01
P-0013525-T01-IM5	2.90E-01	2.65E-01	2.19E-01	1.17E-01
P-0013596-T01-IM5	2.74E-01	3.64E-01	2.67E-01	2.87E-01
P-0013598-T01-IM5	3.70E-01	4.83E-01	4.52E-01	3.26E-01
P-0013659-T01-IM5	2.51E-01	2.48E-01	2.63E-01	1.53E-01
P-0013679-T01-IM5	4.42E-01	4.42E-01	4.02E-01	3.36E-01
P-0013765-T01-IM5	2.22E-01	1.83E-01	1.82E-01	1.73E-01
P-0013910-T01-IM5	4.88E-01	4.45E-01	4.72E-01	3.58E-01
P-0014047-T03-IM6	4.61E-01	5.27E-01	4.17E-01	2.03E-01
P-0014137-T01-IM5	5.87E-01	6.17E-01	5.61E-01	1.36E-01
P-0014148-T01-IM5	8.30E-01	1.05E+00	8.24E-01	3.88E-01
P-0014159-T01-IM5	3.48E-01	3.75E-01	3.19E-01	3.15E-01
P-0014206-T01-IM6	5.77E-01	7.46E-01	7.04E-01	1.51E-01
P-0014208-T01-IM6	5.58E-01	4.94E-01	3.63E-01	2.71E-01
P-0014227-T01-IM6	6.63E-01	9.02E-01	9.66E-01	4.02E-01
P-0014229-T01-IM6	6.88E-01	7.35E-01	7.96E-01	1.58E-01
P-0014242-T01-IM6	6.92E-01	6.57E-01	5.42E-01	1.78E-01
P-0014311-T01-IM6	4.61E-02	1.00E-01	8.52E-02	1.24E-01
P-0014379-T01-IM6	5.70E-02	1.00E-01	1.11E-01	1.01E-01
P-0014392-T01-IM6	6.55E-01	7.20E-01	4.91E-01	1.76E-01
P-0014449-T01-IM6	8.83E-02	7.71E-02	7.08E-02	7.12E-02
P-0014556-T01-IM6	4.29E-01	4.82E-01	4.91E-01	1.63E-01
P-0014682-T01-IM6	4.09E-02	3.86E-02	4.02E-02	4.94E-02
P-0014910-T01-IM6	7.65E-01	7.08E-01	6.59E-01	3.48E-01
P-0014946-T01-IM6	1.24E+00	1.32E+00	1.16E+00	7.43E-01
P-0014966-T01-IM6	1.84E-01	2.00E-01	1.45E-01	1.52E-01
P-0014969-T01-IM6	3.26E-01	3.01E-01	3.93E-01	3.11E-01
P-0015010-T01-IM6	4.51E-02	4.29E-02	1.71E-02	1.00E-02
P-0015106-T01-IM6	4.15E-01	4.77E-01	4.63E-01	2.45E-01
P-0015122-T01-IM6	2.57E-01	2.60E-01	3.15E-01	1.83E-01
P-0015142-T01-IM6	2.78E-01	2.62E-01	1.23E-01	1.04E-01
P-0015257-T01-IM6	1.48E+00	1.50E+00	1.31E+00	2.94E-01
P-0015261-T01-IM6	1.16E+00	1.17E+00	9.28E-01	4.12E-01
P-0015281-T01-IM6	4.81E-01	5.63E-01	5.08E-01	2.74E-01
P-0015373-T01-IM6	6.34E-01	7.09E-01	5.38E-01	2.54E-01
P-0015386-T01-IM6	1.18E+00	1.22E+00	1.04E+00	2.04E-01
P-0015407-T01-IM6	5.88E-01	5.65E-01	5.59E-01	3.91E-01
P-0015415-T01-IM6	1.56E+00	1.81E+00	1.60E+00	4.35E-01
P-0015438-T01-IM6	1.56E+00	1.73E+00	1.34E+00	1.70E-01
P-0015462-T01-IM6	1.40E-01	1.49E-01	9.73E-02	1.44E-01
P-0015471-T01-IM6	8.24E-02	6.04E-02	5.06E-02	8.21E-02
P-0015498-T01-IM6	3.45E-01	3.23E-01	2.99E-01	2.32E-01
P-0015511-T01-IM6	4.23E-01	4.37E-01	2.07E-01	1.92E-01
P-0015512-T01-IM6	1.85E+00	2.16E+00	1.65E+00	4.61E-01
P-0015521-T01-IM6	4.46E-01	4.62E-01	3.43E-01	2.16E-01
P-0015526-T01-IM6	9.91E-01	1.06E+00	7.13E-01	1.45E-01
