Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0005725-T01-IM5	25	0.857	17.898	71.592%	4.169	52.524%	0.6689	0.839
P-0005733-T02-IM5	20	0.966	12.843	64.215%	2.415	32.272%	0.41661	0.967
P-0005769-T01-IM5	6	0.678	8.264	137.733%	2.098	74.176%	1.75715	0.66
P-0005928-T01-IM5	20	0.853	17.925	89.625%	3.769	52.267%	1.01669	0.839
P-0005971-T01-IM5	6	0.701	8.924	148.733%	2.471	78.14%	1.43502	0.714
P-0006034-T01-IM5	50	0.938	33.282	66.564%	5.928	36.347%	0.53001	0.932
P-0006155-T02-IM5	81	0.986	36.723	45.337%	5.346	19.773%	0.35958	0.985
P-0006177-T01-IM5	43	0.926	25.04	58.233%	6.795	39.562%	0.39103	0.921
P-0006192-T01-IM5	9	0.745	10.321	114.678%	2.802	67.958%	1.17564	0.731
P-0006193-T01-IM5	11	0.823	10.846	98.6%	2.379	57.699%	1.05863	0.809
P-0006267-T01-IM5	31	0.936	18.048	58.219%	4.053	35.144%	0.6773	0.931
P-0006339-T01-IM5	68	0.975	31.745	46.684%	5.79	22.503%	0.33913	0.974
P-0006407-T01-IM5	41	0.922	25.803	62.934%	4.715	38.889%	0.51626	0.911
P-0006423-T01-IM5	11	0.885	9.231	83.918%	2.251	46.937%	1.00934	0.878
P-0006476-T01-IM5	13	0.686	15.324	117.877%	3.532	73.647%	1.53623	0.656
P-0006488-T01-IM5	12	0.674	17.185	143.208%	6.427	77.939%	1.33823	0.671
P-0006541-T02-IM5	33	0.807	30.376	92.048%	5.607	60.816%	0.81526	0.775
P-0006621-T01-IM5	79	0.966	39.195	49.614%	6.751	26.378%	0.33196	0.962
P-0006624-T01-IM5	19	0.886	15.323	80.647%	3.469	48.576%	0.85189	0.879
P-0006719-T01-IM5	40	0.91	26.603	66.508%	4.606	42.766%	0.78125	0.895
P-0006731-T01-IM5	17	0.946	11.667	68.629%	2.556	38.979%	0.54494	0.946
P-0006796-T01-IM5	36	0.888	23.975	66.597%	4.63	46.3%	0.5597	0.87
P-0006845-T01-IM5	6	0.459	8.781	146.35%	2.536	89.661%	1.64956	0.418
P-0006952-T01-IM5	21	0.844	16.458	78.371%	3.759	53.7%	0.82129	0.826
P-0006973-T01-IM5	12	0.861	11.413	95.108%	2.91	54.994%	0.9082	0.856
P-0007142-T01-IM5	5	0.687	6.937	138.74%	1.712	76.563%	1.58884	0.682
P-0007232-T02-IM6	4	0.427	5.871	146.775%	1.875	93.75%	2.93216	0.391
P-0007238-T01-IM5	2	0.195	3.723	186.15%	1.406	99.419%	2.77351	0.151
P-0007281-T01-IM5	12	0.701	11.415	95.125%	2.858	71.45%	1.1979	0.663
P-0007492-T01-IM5	4	0.757	5.767	144.175%	1.812	73.975%	1.45342	0.765
P-0007517-T01-IM5	6	0.665	7.42	123.667%	1.842	75.199%	1.46802	0.638
P-0007544-T01-IM5	58	0.951	29.822	51.417%	5.415	30.955%	0.34282	0.944
P-0007561-T01-IM5	33	0.921	22.668	68.691%	3.999	39.026%	0.61552	0.911
P-0007736-T01-IM5	11	0.841	11.452	104.109%	2.573	59.029%	0.95573	0.836
P-0007810-T02-IM5	47	0.956	26.032	55.387%	4.379	29.727%	0.5689	0.951
P-0007876-T01-IM5	39	0.897	30.143	77.29%	6.344	44.971%	0.71001	0.888
P-0007918-T01-IM5	60	0.968	30.172	50.287%	5.093	25.593%	0.38226	0.965
P-0007970-T01-IM5	13	0.689	15.161	116.623%	3.625	72.5%	1.48322	0.659
P-0007980-T01-IM5	11	0.771	11.963	108.755%	3.402	65.472%	1.00754	0.761
P-0007986-T01-IM5	7	0.482	10.428	148.971%	2.645	88.167%	1.77609	0.433
P-0008009-T01-IM5	11	0.814	10.695	97.227%	2.786	60.796%	0.79822	0.804
P-0008028-T01-IM5	4	0.423	6.902	172.55%	2.238	91.366%	2.31542	0.401
P-0008050-T01-IM5	1	0.752	1.708	170.8%	0.864	86.4%	1.92409	0.825
P-0008080-T01-IM5	52	0.915	35.981	69.194%	7.274	41.719%	0.56071	0.907
P-0008228-T01-IM5	46	0.964	24.456	53.165%	4.409	28.579%	0.41442	0.961
P-0008246-T02-IM5	82	0.978	37.973	46.309%	6.812	22.989%	0.29723	0.977
P-0008360-T01-IM5	8	0.748	10.627	132.838%	2.592	69.274%	1.45623	0.739
P-0008403-T01-IM5	23	0.867	18.225	79.239%	4.561	51.315%	0.61799	0.857
P-0008434-T01-IM5	54	0.9	35.234	65.248%	7.852	43.894%	0.51732	0.89
P-0008445-T01-IM5	8	0.748	10.463	130.788%	2.271	71.815%	1.30695	0.749
P-0008450-T01-IM5	1	0.484	1.579	157.9%	0.876	87.6%	1.5582	0.476
P-0008490-T01-IM5	7	0.772	8.099	115.7%	2.364	65.566%	1.29889	0.764
P-0008492-T02-IM5	3	0.485	5.108	170.267%	1.546	89.258%	2.22796	0.476
P-0008557-T02-IM5	53	0.968	25.473	48.062%	4.244	24.965%	0.47603	0.965
P-0008659-T01-IM5	8	0.471	12.693	158.662%	2.819	89.145%	2.22661	0.412
P-0008728-T01-IM5	43	0.914	28.187	65.551%	4.789	42.165%	0.51536	0.899
P-0008733-T01-IM5	7	0.442	10.618	151.686%	2.389	90.296%	2.01745	0.369
P-0008857-T01-IM5	51	0.961	24.583	48.202%	4.87	27.977%	0.43641	0.957
P-0008859-T01-IM5	1	0.171	1.934	193.4%	0.986	98.6%	3.40787	0.138
P-0008912-T01-IM5	12	0.781	10.767	89.725%	2.342	62.593%	1.02839	0.751
P-0008942-T01-IM5	37	0.963	20.414	55.173%	3.751	29.747%	0.51707	0.961
