Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS21	SBS42	SBS54
P-0040250-T01-IM6	13	0	0	0	28	0	0	0	0
P-0040355-T01-IM6	12	0	0	0	8	0	0	0	10
P-0040373-T01-IM6	10	0	0	7	19	0	0	0	15
P-0040484-T01-IM6	7	2	0	0	14	0	0	0	0
P-0040678-T01-IM6	26	0	0	0	23	0	0	0	0
P-0040787-T01-IM6	17	3	93	60	0	0	0	0	0
P-0041005-T01-IM6	15	0	0	0	39	0	0	0	19
P-0041144-T01-IM6	16	23	0	0	19	0	0	0	0
P-0041213-T01-IM6	12	0	0	0	0	0	0	14	0
P-0041436-T01-IM6	13	14	0	0	21	0	0	0	0
P-0041542-T01-IM6	6	0	0	7	8	0	0	0	0
P-0041648-T01-IM6	48	7	0	0	0	14	0	0	0
P-0041855-T01-IM6	29	12	0	0	0	19	0	19	0
P-0041986-T01-IM6	23	15	0	0	16	0	0	0	0
P-0042503-T01-IM6	13	10	0	0	0	10	7	0	0
P-0042615-T01-IM6	33	5	0	0	0	0	0	0	0
P-0042737-T01-IM6	14	0	0	0	17	11	0	0	0
P-0042880-T01-IM6	14	2	0	0	0	0	0	11	0
P-0043005-T01-IM6	25	10	0	0	30	0	0	0	0
P-0043052-T01-IM6	52	1	0	0	0	0	0	40	0
P-0043087-T01-IM6	29	0	0	0	38	0	20	0	0
P-0043095-T01-IM6	20	8	0	0	11	0	0	0	17
P-0043154-T01-IM6	22	14	0	0	16	0	0	0	0
P-0043169-T01-IM6	2	0	0	0	5	0	0	7	4
P-0043595-T01-IM6	28	12	0	0	16	0	0	0	0
P-0043599-T01-IM6	13	12	0	0	0	0	14	0	0
P-0043781-T01-IM6	8	4	0	0	0	0	15	0	9
P-0043907-T01-IM6	34	16	0	0	0	0	0	0	0
P-0044184-T01-IM6	12	2	0	0	23	16	0	0	0
P-0044217-T01-IM6	10	11	0	0	0	0	0	0	0
P-0044329-T01-IM6	30	0	0	0	0	12	0	0	10
P-0044371-T01-IM6	17	1	0	0	0	0	33	0	15
P-0044406-T01-IM6	12	14	0	0	11	0	0	0	0
P-0044484-T01-IM6	12	7	0	0	19	0	0	0	0
P-0044540-T01-IM6	7	3	0	0	35	0	0	0	0
P-0044544-T01-IM6	16	3	0	0	0	0	0	10	7
P-0044576-T01-IM6	18	2	0	0	0	0	0	0	12
P-0044645-T01-IM6	49	0	0	0	36	0	0	0	0
P-0044666-T01-IM6	6	0	0	0	23	0	0	0	0
P-0044791-T01-IM6	18	0	0	0	23	0	0	0	0
P-0044805-T01-IM6	16	7	0	0	8	0	0	0	0
P-0044833-T01-IM6	33	6	0	0	0	20	0	0	0
P-0044858-T01-IM6	17	12	0	0	0	0	0	0	0
P-0045009-T01-IM6	9	0	0	0	17	0	0	0	0
P-0045111-T01-IM6	21	13	0	0	0	17	0	0	0
P-0045223-T01-IM6	2	0	0	0	10	0	0	0	9
P-0045253-T01-IM6	16	9	0	0	0	0	0	0	13
P-0045320-T01-IM6	16	0	0	5	0	9	0	0	0
P-0045366-T01-IM6	10	11	0	0	12	0	0	0	0
P-0045460-T01-IM6	8	7	0	0	0	0	0	14	0
P-0045471-T01-IM6	0	4	0	0	19	0	0	0	0
P-0045547-T01-IM6	8	2	0	0	0	0	0	8	0
P-0045569-T01-IM6	24	14	0	0	30	0	0	0	0
P-0045713-T01-IM6	15	6	0	0	0	0	0	0	0
P-0045823-T01-IM6	6	2	0	0	30	0	0	0	0
P-0045984-T01-IM6	28	12	0	0	14	0	0	0	0
P-0046035-T01-IM6	10	16	0	0	0	0	0	0	0
P-0046229-T01-IM6	12	1	0	0	0	0	0	18	0
P-0046266-T01-IM6	12	11	0	0	0	18	0	0	0
P-0046311-T01-IM6	10	2	0	8	8	0	0	0	0
P-0046312-T01-IM6	35	2	0	0	0	0	0	0	0
P-0046394-T01-IM6	22	0	0	0	0	0	0	13	0
P-0046492-T01-IM6	20	0	0	6	0	9	0	0	0
P-0046698-T01-IM6	36	14	0	0	51	0	0	0	0
P-0046738-T01-IM6	4	0	0	0	20	0	0	0	0
P-0046739-T01-IM6	15	10	0	0	21	0	0	0	0
P-0046759-T01-IM6	15	5	0	0	20	0	0	0	0
P-0046843-T01-IM6	42	7	0	0	0	0	0	0	22
P-0046954-T01-IM6	0	10	0	0	0	0	0	0	0
P-0047056-T01-IM6	18	28	0	0	32	0	0	0	0
P-0047121-T01-IM6	13	4	0	0	8	0	0	0	0
P-0047196-T01-IM6	15	4	0	0	11	0	0	0	0
P-0047599-T01-IM6	50	19	0	0	22	0	0	0	0
P-0047601-T01-IM6	2	12	0	0	16	0	0	0	0
P-0047632-T01-IM6	11	10	0	0	28	0	0	0	0
P-0047822-T01-IM6	19	1	0	0	0	12	0	14	0
P-0047850-T01-IM6	25	12	0	0	12	0	0	0	0
P-0047862-T01-IM6	8	4	0	0	23	0	0	0	0
P-0047886-T01-IM6	13	14	0	0	12	0	0	0	9
P-0048082-T01-IM6	24	16	0	0	0	0	0	0	0
P-0048215-T01-IM6	0	0	83	237	150	0	0	0	0
P-0048221-T01-IM6	23	19	0	0	36	0	0	0	0
P-0048257-T01-IM6	3	10	0	0	11	10	0	0	0
P-0048271-T01-IM6	22	5	0	0	0	0	0	0	0
P-0048660-T01-IM6	15	5	0	0	0	0	0	0	5
P-0048893-T01-IM6	19	22	0	0	0	0	0	0	0
P-0049064-T01-IM6	5	11	0	0	24	0	0	0	11
P-0049202-T01-IM6	11	0	80	82	0	0	0	0	0
P-0049359-T01-IM6	15	14	0	0	0	0	0	0	0
P-0049376-T01-IM6	23	13	0	0	0	0	0	0	9
P-0049486-T01-IM6	5	0	0	0	10	0	0	0	5
P-0049600-T01-IM6	6	0	0	0	5	6	0	0	0
P-0049633-T01-IM6	4	0	0	0	18	0	0	0	7
P-0049661-T01-IM6	13	0	0	0	10	0	0	11	0
P-0049762-T01-IM6	7	5	0	0	21	0	0	0	0
P-0049970-T01-IM6	19	24	0	0	17	0	0	0	0
P-0050263-T01-IM6	14	0	76	191	0	0	0	0	0
P-0050266-T01-IM6	12	14	0	0	0	21	0	0	0
