Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0004378-T01-IM5	3	0.428	5.362	178.733%	1.596	92.145%	2.31032	0.436
P-0004382-T01-IM5	29	0.353	44.45	153.276%	8.088	95.987%	1.841	0.184
P-0004395-T01-IM5	8	0.262	14.299	178.737%	2.76	97.581%	2.68296	0.084
P-0004410-T01-IM5	13	0.461	19.252	148.092%	3.874	88.876%	1.76881	0.365
P-0004414-T01-IM5	2	0.218	3.816	190.8%	1.38	97.581%	3.10327	0.166
P-0004421-T01-IM5	4	0.444	6.96	174.0%	1.817	90.85%	2.1055	0.429
P-0004432-T01-IM5	4	0.437	6.419	160.475%	1.799	89.95%	2.39774	0.395
P-0004436-T01-IM5	5	0.244	8.914	178.28%	2.582	97.59%	2.50902	0.169
P-0004438-T01-IM5	5	0.302	8.989	179.78%	2.133	95.391%	2.68518	0.205
P-0004442-T01-IM5	33	0.614	37.006	112.139%	6.162	78.896%	1.01269	0.485
P-0004447-T01-IM5	4	0.052	7.879	196.975%	2.055	102.75%	4.31816	-0.129
P-0004463-T01-IM5	7	0.697	8.163	116.614%	1.915	72.38%	1.54708	0.67
P-0004472-T01-IM5	13	0.515	18.879	145.223%	3.092	85.757%	1.59301	0.387
P-0004476-T01-IM5	7	0.415	11.62	166.0%	2.408	91.014%	2.3258	0.327
