Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0033382-T01-IM6	1.01E+00	8.75E-01	1.04E+00	4.80E-01	4.39E-01	2.08E-01
P-0033425-T01-IM6	3.55E+00	4.36E+00	2.08E+00	3.65E-01	2.22E+00	7.31E-01
P-0033503-T01-IM6	4.49E-01	3.77E-01	3.31E-01	2.00E-02	3.82E-01	1.66E-01
P-0033748-T01-IM6	4.00E-02	4.57E-01	2.34E+00	1.44E+00	1.88E+00	1.31E+00
P-0033852-T01-IM6	5.21E-01	6.33E-01	4.36E-01	3.52E-01	6.88E-01	2.81E-01
P-0034090-T01-IM6	2.64E-01	3.94E-01	3.69E-01	6.71E-02	2.90E-01	3.72E-01
P-0034401-T01-IM6	4.73E-01	5.15E-01	4.48E-01	0.00E+00	4.97E-01	2.96E-01
P-0034935-T01-IM6	9.79E-02	3.00E-01	2.54E-01	0.00E+00	3.03E-01	3.32E-01
P-0034950-T01-IM6	5.49E-01	6.38E-01	7.34E-01	0.00E+00	6.74E-01	4.62E-01
P-0035033-T01-IM6	3.18E-01	3.61E-01	2.27E-01	0.00E+00	2.25E-01	1.63E-01
P-0035100-T01-IM6	4.17E-01	3.23E-01	2.19E-01	1.30E-01	4.03E-01	3.22E-01
P-0035103-T01-IM6	4.58E-01	5.28E-01	1.71E+00	1.66E+00	3.02E-01	1.90E-01
P-0035437-T01-IM6	5.73E-01	5.37E-01	6.17E-01	3.64E-01	7.14E-01	6.23E-01
P-0035452-T01-IM6	5.69E-01	8.32E-01	6.27E-01	1.86E-01	7.58E-01	6.45E-01
P-0035693-T01-IM6	4.19E-01	2.99E-01	3.55E-01	2.70E-01	4.33E-01	3.53E-01
P-0035742-T01-IM6	1.61E-01	2.70E-01	6.02E-01	5.65E-01	1.17E-01	1.80E-01
P-0035755-T01-IM6	7.00E-01	6.74E-01	5.86E-01	0.00E+00	6.57E-01	5.76E-01
P-0035916-T01-IM6	4.74E-01	4.08E-01	5.27E-01	2.26E-01	4.63E-01	6.07E-01
P-0036028-T01-IM6	6.46E-01	8.58E-01	5.61E-01	2.23E-01	6.35E-01	4.38E-01
P-0036050-T01-IM6	7.03E-01	7.00E-01	4.39E-01	4.64E-02	2.55E-01	2.70E-01
P-0036309-T01-IM6	4.72E-01	5.20E-01	4.13E-01	1.84E-01	5.27E-01	4.15E-01
P-0036334-T01-IM6	6.13E-01	6.21E-01	4.05E-01	1.59E-01	4.76E-01	3.86E-01
P-0036369-T01-IM6	6.45E-01	7.01E-01	4.93E-01	2.76E-01	5.77E-01	5.61E-01
P-0036380-T01-IM6	4.07E-01	5.89E-01	5.10E-01	3.07E-01	6.43E-01	4.66E-01
P-0036500-T01-IM6	7.86E-01	7.40E-01	6.54E-01	0.00E+00	4.28E-01	3.40E-01
P-0036503-T01-IM6	4.55E-01	9.77E-01	2.86E+00	2.55E+00	3.51E-01	2.70E-01
P-0036831-T01-IM6	4.57E-01	5.46E-01	4.09E-01	2.42E-01	5.13E-01	5.15E-01
P-0036852-T01-IM6	5.53E-01	6.19E-01	6.09E-01	2.72E-01	7.18E-01	6.62E-01
P-0036924-T01-IM6	4.92E-01	2.71E-01	7.75E-01	6.49E-02	9.66E-01	9.19E-01
P-0037227-T01-IM6	3.92E-01	2.68E-01	3.82E-01	1.22E-01	5.13E-01	5.33E-01
P-0037246-T01-IM6	3.53E-01	4.85E-01	3.03E-01	1.47E-01	3.20E-01	3.14E-01
P-0037410-T01-IM6	5.40E-01	8.42E-01	1.01E+00	1.76E-01	9.12E-01	7.21E-01
P-0037531-T01-IM6	5.62E-02	5.17E-01	1.08E+00	1.18E+00	4.62E-01	5.68E-01
P-0037582-T01-IM6	5.71E-01	6.08E-01	3.72E-01	3.00E-02	5.15E-01	3.62E-01
P-0037838-T02-IM6	4.49E-01	2.86E-01	3.34E-01	1.09E-01	4.56E-01	4.56E-01
P-0037867-T01-IM6	5.15E-01	4.27E-01	6.23E-01	2.87E-01	7.55E-01	6.64E-01
P-0037875-T01-IM6	6.13E-01	6.45E-01	6.42E-01	1.42E-01	7.61E-01	5.68E-01
P-0037898-T01-IM6	4.09E-01	1.06E+00	3.44E+00	3.17E+00	3.28E-01	7.06E-02
P-0038159-T01-IM6	4.82E-01	4.96E-01	4.42E-01	0.00E+00	3.02E-01	3.11E-01
P-0038378-T01-IM6	5.01E-01	5.89E-01	3.77E-01	7.51E-02	5.52E-01	4.82E-01
P-0038553-T01-IM6	5.16E-01	6.57E-01	9.25E-01	4.22E-02	6.96E-01	9.63E-01
P-0038612-T02-IM6	4.37E-01	4.30E-01	4.76E-01	2.43E-02	4.41E-01	3.81E-01
P-0038638-T01-IM6	4.07E-01	4.88E-01	5.03E-01	1.23E-01	6.30E-01	3.50E-01
P-0038880-T01-IM6	6.66E-01	5.95E-01	6.62E-01	2.20E-01	5.94E-01	4.96E-01
P-0038908-T01-IM6	3.39E-01	2.32E-01	3.06E-01	1.41E-01	4.74E-01	3.17E-01
P-0039283-T01-IM6	1.13E+00	1.21E+00	1.08E+00	2.34E-01	7.98E-01	8.54E-01
P-0039441-T01-IM6	4.12E-01	5.07E-01	4.20E-01	0.00E+00	5.35E-01	3.77E-01
P-0039443-T01-IM6	7.11E-01	7.45E-01	4.69E-01	1.71E-01	4.62E-01	3.84E-01
P-0039589-T01-IM6	1.21E+00	1.80E+00	1.21E+00	4.17E-01	1.52E+00	9.26E-01
P-0039800-T01-IM6	5.30E-01	5.47E-01	2.84E-01	0.00E+00	3.15E-01	1.91E-01
P-0039938-T01-IM6	6.50E-01	7.26E-01	5.33E-01	2.19E-01	7.02E-01	5.60E-01
P-0039999-T01-IM6	5.50E-01	5.49E-01	6.16E-01	0.00E+00	7.18E-01	7.78E-01
P-0040021-T01-IM6	4.41E-01	4.48E-01	4.83E-01	1.52E-01	4.93E-01	4.47E-01
