"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"BRAF_mut","Bone",0.763736264,0.518987342,"#cccc33","green",0.000137545,"#7E90CF","BRAF_mut       Bone"
"Epigenetic","PNS",0.093617021,0.346153846,"#cccc33","navy",0.001127419,"#DFB79C","Epigenetic       PNS"
"Cell_Cycle","CNS.Brain",0.048245614,0.272727273,"#cccc33","navy",0.000177026,"#EEDD57","Cell_Cycle       CNS.Brain"
"ERBB2_Amplification","Lung",0.16025641,0.370629371,"#7aa8d9","red",1.78e-06,"#D9C3DE","ERBB2_Amplification       Lung"
"RTK_RAS","Lung",0.528846154,0.72027972,"#7aa8d9","navy",0.000137011,"#D9C3DE","RTK_RAS       Lung"
"Epigenetic","Pleura",0.37037037,0.728813559,"#026631","navy",3.45e-05,"#7AC0DD","Epigenetic       Pleura"
"PI3K","Liver",0.706896552,0.30952381,"#310725","navy",0.000106243,"#87DFB3","PI3K       Liver"
"HIPPO","Bone",0.27388535,0.605263158,"#682767","navy",0.000213546,"#7E90CF","HIPPO       Bone"
"RB1_mut","Bowel",0.098684211,0.529411765,"#00dbca","green",6.22e-05,"#E29B50","RB1_mut       Bowel"
"TP53_mut","Distant_LN",0.256923077,0.359281437,"#e6308e","green",0.000217364,"#D480CE","TP53_mut       Distant_LN"
"ESR1_mut","Lung",0.083645443,0.162857143,"#e6308e","green",0.000117552,"#D9C3DE","ESR1_mut       Lung"
"ESR1_mut","Pleura",0.092473118,0.171945701,"#e6308e","green",0.001062826,"#7AC0DD","ESR1_mut       Pleura"
"CBFB_mut","Liver",0.04676259,0.013445378,"#e6308e","green",0.000819758,"#87DFB3","CBFB_mut       Liver"
"ESR1_mut","Liver",0.052158273,0.159663866,"#e6308e","green",2.07e-09,"#87DFB3","ESR1_mut       Liver"
"MYC_Amplification","Liver",0.070143885,0.121008403,"#e6308e","red",0.003691262,"#87DFB3","MYC_Amplification       Liver"
"CCND1_FGF19_Amplification","Liver",0.217625899,0.28907563,"#e6308e","red",0.005541608,"#87DFB3","CCND1_FGF19_Amplification       Liver"
"ESR1_mut","Intra-Abdominal",0.098440546,0.184,"#e6308e","green",0.005763781,"#8067D6","ESR1_mut       Intra-Abdominal"
"MAP3K1_mut","CNS.Brain",0.088744589,0.030837004,"#e6308e","green",0.002120928,"#EEDD57","MAP3K1_mut       CNS.Brain"
"CBFB_mut","Bone",0.060052219,0.014322917,"#e6308e","green",4.9e-05,"#7E90CF","CBFB_mut       Bone"
"ESR1_mut","Bone",0.060052219,0.131510417,"#e6308e","green",0.000169986,"#7E90CF","ESR1_mut       Bone"
"PIK3CA_mut","PNS",0.345286885,0.514285714,"#e6308e","green",2.89e-05,"#DFB79C","PIK3CA_mut       PNS"
"p53","Distant_LN",0.341538462,0.457085828,"#e6308e","navy",7.51e-05,"#D480CE","p53       Distant_LN"
"Epigenetic","Lung",0.237203496,0.314285714,"#e6308e","navy",0.006922974,"#D9C3DE","Epigenetic       Lung"
"RTK_RAS","Liver",0.287769784,0.36302521,"#e6308e","navy",0.006868612,"#87DFB3","RTK_RAS       Liver"
"Cell_Cycle","Liver",0.278776978,0.396638655,"#e6308e","navy",2.93e-05,"#87DFB3","Cell_Cycle       Liver"
"MYC","Liver",0.077338129,0.132773109,"#e6308e","navy",0.002854711,"#87DFB3","MYC       Liver"
"Cell_Cycle","CNS.Brain",0.319264069,0.422907489,"#e6308e","navy",0.003766535,"#EEDD57","Cell_Cycle       CNS.Brain"
"PI3K","Bone",0.441253264,0.55859375,"#e6308e","navy",0.000216758,"#7E90CF","PI3K       Bone"
"PI3K","PNS",0.49897541,0.634285714,"#e6308e","navy",0.000999059,"#DFB79C","PI3K       PNS"
"Epigenetic","Pleura",0.37037037,0.728813559,"#026631","navy",3.45e-05,"#7AC0DD","Epigenetic       Pleura"
