Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0003872-T01-IM5	22	0.857	16.742	76.1%	4.111	52.21%	0.81013	0.843
P-0003921-T01-IM5	15	0.762	15.238	101.587%	3.385	67.7%	1.56124	0.736
P-0003966-T01-IM5	7	0.825	5.408	77.257%	1.695	56.5%	1.12232	0.813
P-0004048-T01-IM5	3	0.654	3.629	120.967%	1.313	75.806%	2.00883	0.64
P-0004142-T01-IM5	27	0.891	20.731	76.781%	4.757	45.988%	1.0035	0.882
P-0004203-T01-IM5	9	0.519	12.317	136.856%	3.419	88.278%	2.98737	0.482
P-0004214-T01-IM5	37	0.884	21.335	57.662%	6.049	50.584%	0.52795	0.874
P-0004236-T01-IM5	18	0.626	21.5	119.444%	4.693	78.217%	1.37437	0.575
P-0004253-T01-IM5	9	0.753	9.069	100.767%	2.381	66.037%	1.09222	0.733
P-0004272-T01-IM5	9	0.592	11.943	132.7%	2.7	81.408%	2.06503	0.546
P-0004348-T01-IM5	24	0.827	20.226	84.275%	5.411	56.414%	1.08076	0.813
P-0004349-T01-IM5	7	0.647	8.549	122.129%	2.309	76.967%	1.98156	0.62
P-0004437-T01-IM5	15	0.813	13.028	86.853%	3.023	58.178%	1.06756	0.793
P-0004457-T01-IM5	41	0.918	27.8	67.805%	6.969	39.904%	0.85776	0.913
P-0004518-T01-IM5	25	0.863	17.851	71.404%	4.591	53.012%	1.11085	0.852
P-0004650-T01-IM5	61	0.941	31.458	51.57%	7.263	35.826%	0.47309	0.936
P-0004700-T02-IM5	6	0.816	6.045	100.75%	2.123	61.286%	1.14482	0.812
P-0004914-T01-IM5	25	0.851	18.403	73.612%	4.783	52.5%	0.59542	0.837
P-0004933-T02-IM6	17	0.717	17.962	105.659%	3.807	70.694%	1.41964	0.679
P-0004952-T01-IM5	37	0.905	23.435	63.338%	5.488	44.959%	0.99471	0.896
P-0005039-T01-IM5	30	0.955	12.944	43.147%	3.05	30.5%	0.53561	0.951
P-0005053-T01-IM5	12	0.827	10.833	90.275%	3.83	57.739%	0.83348	0.821
P-0005062-T01-IM5	1	0.031	1.992	199.2%	1.004	100.4%	5.49453	-0.078
P-0005109-T01-IM5	17	0.832	13.904	81.788%	3.191	55.548%	0.68605	0.813
P-0005118-T01-IM5	19	0.788	15.557	81.879%	4.666	61.803%	0.85309	0.771
P-0005129-T01-IM5	9	0.725	10.712	119.022%	2.673	69.017%	1.43617	0.705
P-0005144-T01-IM5	7	0.507	9.927	141.814%	3.018	100.6%	3.91495	0.478
P-0005146-T01-IM5	8	0.334	14.024	175.3%	2.668	94.328%	2.53428	0.181
P-0005159-T01-IM5	102	0.891	69.34	67.98%	12.288	47.615%	0.54364	0.87
P-0005222-T01-IM5	16	0.831	11.377	71.106%	3.608	55.673%	0.97997	0.819
P-0005228-T01-IM5	93	0.975	34.447	37.04%	7.405	23.22%	0.50936	0.973
P-0005241-T01-IM5	2	0.578	2.804	140.2%	1.158	81.883%	1.74908	0.565
P-0005260-T01-IM5	9	0.719	10.043	111.589%	2.875	69.729%	1.43719	0.701
P-0005352-T01-IM5	10	0.779	11.476	114.76%	2.52	63.0%	1.22196	0.762
P-0005366-T01-IM5	155	0.949	66.04	42.606%	17.684	33.594%	0.29083	0.944
P-0005370-T01-IM5	15	0.639	18.175	121.167%	4.215	81.118%	1.84317	0.601
P-0005383-T01-IM5	21	0.84	17.225	82.024%	3.874	54.247%	0.67175	0.823
P-0005421-T01-IM5	17	0.773	18.862	110.953%	4.07	63.563%	1.22757	0.752
P-0005461-T02-IM5	2	0.566	2.932	146.6%	1.174	83.014%	1.35033	0.554
P-0005493-T01-IM5	8	0.379	12.798	159.975%	3.541	94.637%	2.83856	0.329
P-0005583-T01-IM5	4	0.685	4.755	118.875%	1.787	72.954%	2.19944	0.674
P-0005604-T01-IM5	7	0.822	6.178	88.257%	1.909	57.559%	1.053	0.813
P-0005673-T01-IM5	12	0.815	9.477	78.975%	2.561	60.363%	1.00189	0.798
P-0005725-T01-IM5	25	0.865	16.316	65.264%	4.472	56.342%	0.71153	0.853
P-0005733-T02-IM5	20	0.874	12.215	61.075%	3.657	48.869%	0.61805	0.863
P-0005769-T01-IM5	6	0.619	7.565	126.083%	2.266	80.115%	2.48868	0.596
P-0005928-T01-IM5	20	0.812	17.118	85.59%	4.306	59.713%	1.37153	0.795
P-0005971-T01-IM5	6	0.593	8.177	136.283%	2.548	80.575%	1.75554	0.571
P-0006034-T01-IM5	50	0.951	25.755	51.51%	5.051	30.97%	0.45004	0.945
P-0006155-T02-IM5	81	0.939	41.011	50.631%	9.667	35.755%	0.52137	0.933
P-0006177-T01-IM5	43	0.975	14.089	32.765%	3.811	22.188%	0.30873	0.973
P-0006192-T01-IM5	9	0.707	8.516	94.622%	2.926	70.966%	1.03878	0.689
P-0006193-T01-IM5	11	0.776	10.042	91.291%	2.88	69.85%	1.84538	0.76
P-0006267-T01-IM5	31	0.811	27.028	87.187%	6.871	59.579%	1.15098	0.795
