Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0040107-T01-IM6	44	0.905	30.719	69.816%	5.563	42.919%	0.55405	0.892
P-0040121-T01-IM6	50	0.862	37.46	74.92%	6.539	51.695%	0.57352	0.835
P-0040182-T01-IM6	41	0.87	32.643	79.617%	5.393	49.438%	0.73692	0.845
P-0040250-T01-IM6	41	0.961	23.127	56.407%	4.702	28.669%	0.78111	0.958
P-0040355-T01-IM6	30	0.856	25.826	86.087%	5.149	52.013%	0.78692	0.84
P-0040373-T01-IM6	51	0.914	35.381	69.375%	5.874	41.851%	0.50932	0.902
P-0040484-T01-IM6	23	0.946	14.09	61.261%	2.986	34.479%	0.65003	0.942
P-0040678-T01-IM6	49	0.959	27.634	56.396%	6.301	29.347%	0.45094	0.956
P-0040787-T01-IM6	173	0.976	67.713	39.14%	17.132	22.949%	0.21057	0.975
P-0041005-T01-IM6	73	0.943	42.244	57.868%	7.292	34.724%	0.43538	0.936
P-0041144-T01-IM6	58	0.948	33.65	58.017%	5.161	31.885%	0.41862	0.94
P-0041213-T01-IM6	26	0.886	19.2	73.846%	3.872	48.4%	0.69976	0.872
P-0041436-T01-IM6	48	0.927	30.236	62.992%	5.115	37.505%	0.69169	0.916
P-0041542-T01-IM6	21	0.866	19.621	93.433%	4.349	53.131%	0.96898	0.858
P-0041648-T01-IM6	69	0.955	33.219	48.143%	7.476	29.668%	0.33826	0.951
P-0041855-T01-IM6	79	0.878	57.588	72.896%	9.296	50.942%	0.7229	0.85
P-0041986-T01-IM6	54	0.944	32.455	60.102%	5.887	33.436%	0.4577	0.937
P-0042503-T01-IM6	40	0.862	31.285	78.212%	5.1	51.0%	0.64192	0.832
P-0042615-T01-IM6	38	0.787	30.48	80.211%	10.355	61.883%	0.517	0.773
P-0042737-T01-IM6	42	0.962	24.446	58.205%	4.432	30.879%	0.45105	0.96
P-0042880-T01-IM6	27	0.833	22.077	81.767%	4.822	55.68%	0.91938	0.812
P-0043005-T01-IM6	65	0.979	31.914	49.098%	5.424	24.281%	0.35449	0.979
P-0043052-T01-IM6	93	0.96	44.406	47.748%	8.118	27.894%	0.33893	0.955
P-0043087-T01-IM6	87	0.956	48.085	55.27%	8.956	32.254%	0.36039	0.953
P-0043095-T01-IM6	56	0.933	33.716	60.207%	5.664	36.26%	0.48376	0.922
P-0043154-T01-IM6	52	0.951	28.459	54.729%	5.467	31.884%	0.38267	0.946
P-0043169-T01-IM6	18	0.713	20.325	112.917%	3.613	70.857%	1.07883	0.662
P-0043595-T01-IM6	56	0.962	28.757	51.352%	5.664	29.21%	0.36545	0.959
P-0043599-T01-IM6	39	0.776	37.539	96.254%	6.028	63.191%	0.83833	0.721
P-0043781-T01-IM6	36	0.778	32.421	90.058%	5.764	62.89%	0.83378	0.728
P-0043907-T01-IM6	50	0.97	23.812	47.624%	4.598	25.01%	0.39987	0.968
P-0044184-T01-IM6	53	0.916	33.667	63.523%	5.614	40.621%	0.49625	0.9
P-0044217-T01-IM6	21	0.865	17.044	81.162%	3.436	50.119%	0.81542	0.85
P-0044329-T01-IM6	52	0.905	34.488	66.323%	7.427	43.463%	0.47082	0.895
P-0044371-T01-IM6	66	0.843	50.232	76.109%	9.132	54.968%	0.56572	0.814
P-0044406-T01-IM6	37	0.853	31.207	84.343%	6.208	52.281%	0.81552	0.835
P-0044484-T01-IM6	38	0.937	23.619	62.155%	4.687	35.738%	0.49396	0.931
P-0044540-T01-IM6	45	0.885	36.58	81.289%	6.631	47.244%	0.90022	0.871
P-0044544-T01-IM6	36	0.915	23.081	64.114%	4.145	40.645%	0.60097	0.902
P-0044576-T01-IM6	32	0.853	29.479	92.122%	5.039	52.535%	1.09758	0.832
P-0044645-T01-IM6	85	0.983	34.126	40.148%	7.278	19.699%	0.38248	0.982
P-0044666-T01-IM6	29	0.952	19.964	68.841%	3.778	32.516%	0.67469	0.95
P-0044791-T01-IM6	41	0.954	24.377	59.456%	4.66	30.398%	0.70856	0.95
P-0044805-T01-IM6	31	0.957	16.924	54.594%	3.057	29.281%	0.56728	0.953
P-0044833-T01-IM6	59	0.888	43.863	74.344%	8.429	46.612%	0.66043	0.874
P-0044858-T01-IM6	29	0.938	20.519	70.755%	3.777	36.514%	0.76093	0.933
P-0045009-T01-IM6	26	0.919	19.12	73.538%	3.67	39.575%	0.75301	0.912
