Samples	SBS96A	SBS96B
P-0005483-T02-IM5	3	3
P-0005504-T01-IM5	1	0
P-0005510-T01-IM5	5	0
P-0005523-T01-IM5	2	0
P-0005527-T01-IM5	2	4
P-0005533-T01-IM5	1	4
P-0005537-T01-IM5	1	2
P-0005543-T02-IM5	4	8
P-0005544-T01-IM5	4	1
P-0005553-T01-IM5	1	2
P-0005562-T01-IM5	0	2
P-0005567-T01-IM5	10	0
P-0005573-T01-IM5	0	3
P-0005580-T01-IM5	0	1
P-0005629-T02-IM5	2	1
P-0005633-T01-IM5	1	0
P-0005644-T01-IM5	1	0
P-0005645-T02-IM5	4	5
P-0005694-T01-IM5	6	1
P-0005707-T01-IM5	15	1
P-0005711-T01-IM5	0	2
P-0005721-T01-IM5	4	2
P-0005734-T02-IM5	4	3
P-0005743-T02-IM5	2	1
P-0005752-T01-IM5	4	0
P-0005763-T01-IM5	0	1
P-0005786-T01-IM5	1	0
P-0005845-T01-IM5	0	3
P-0005847-T01-IM5	1	4
P-0005848-T01-IM5	9	8
P-0005849-T01-IM5	10	0
P-0005850-T01-IM5	9	4
P-0005863-T01-IM5	0	1
P-0005868-T02-IM5	0	3
P-0005871-T01-IM5	1	2
P-0005872-T01-IM5	1	0
P-0005873-T02-IM6	3	7
P-0005881-T02-IM5	5	1
P-0005895-T01-IM5	1	4
P-0005897-T02-IM5	1	3
P-0005903-T01-IM5	8	2
P-0005925-T02-IM5	7	8
P-0005927-T01-IM5	4	0
P-0005942-T01-IM5	1	2
P-0005959-T01-IM5	4	4
P-0005962-T01-IM5	1	1
P-0005974-T01-IM5	1	3
P-0005975-T01-IM5	5	3
P-0005981-T01-IM5	7	1
P-0005985-T01-IM5	2	5
P-0005990-T01-IM5	1	1
P-0006002-T01-IM5	1	0
P-0006021-T01-IM5	4	1
P-0006028-T01-IM5	3	0
P-0006046-T01-IM5	16	5
P-0006047-T02-IM5	1	1
P-0006060-T01-IM5	22	2
P-0006065-T01-IM5	2	0
P-0006071-T01-IM5	12	7
P-0006084-T01-IM5	4	1
P-0006088-T01-IM5	3	4
P-0006094-T01-IM5	3	8
P-0006105-T01-IM5	1	3
P-0006114-T01-IM5	2	0
P-0006115-T01-IM5	13	10
P-0006116-T02-IM6	2	3
P-0006123-T01-IM5	1	1
P-0006127-T01-IM5	2	4
P-0006133-T01-IM5	13	48
P-0006134-T01-IM5	3	3
P-0006139-T02-IM6	1	3
P-0006140-T01-IM5	8	0
P-0006149-T02-IM5	0	3
P-0006151-T01-IM5	2	4
P-0006171-T01-IM5	0	1
P-0006172-T01-IM5	4	1
P-0006175-T01-IM5	7	8
P-0006191-T01-IM5	3	0
P-0006198-T01-IM5	0	1
P-0006206-T01-IM5	1	0
P-0006210-T01-IM5	0	4
P-0006221-T02-IM5	10	3
P-0006268-T01-IM5	1	1
P-0006280-T02-IM6	4	1
P-0006289-T01-IM5	0	5
P-0006290-T01-IM5	13	1
P-0006292-T01-IM5	1	0
P-0006294-T01-IM5	3	1
P-0006311-T02-IM5	2	5
P-0006312-T02-IM5	1	2
P-0006314-T01-IM5	4	4
P-0006321-T01-IM5	2	0
P-0006341-T01-IM5	17	2
P-0006343-T01-IM5	4	2
P-0006351-T01-IM5	8	0
P-0006364-T01-IM5	5	1
P-0006370-T01-IM5	1	1
P-0006372-T01-IM5	3	0
P-0006397-T01-IM5	0	2
P-0006402-T01-IM5	1	5
P-0006415-T01-IM5	0	4
P-0006421-T01-IM5	7	2
P-0006457-T01-IM5	3	4
P-0006471-T01-IM5	1	1
P-0006474-T01-IM5	11	3
P-0006485-T01-IM5	3	8
P-0006516-T01-IM5	2	0
P-0006561-T03-IM6	0	4
P-0006566-T01-IM5	2	2
P-0006569-T01-IM5	0	3
P-0006582-T02-IM5	3	1
P-0006588-T01-IM5	0	1
P-0006596-T01-IM5	0	3
P-0006606-T02-IM5	2	1
P-0006607-T02-IM5	0	1
P-0006637-T01-IM5	7	1
P-0006640-T01-IM5	0	3
P-0006642-T01-IM5	16	4
P-0006654-T02-IM6	1	2
P-0006663-T01-IM5	17	3
P-0006671-T01-IM5	0	2
P-0006677-T02-IM6	7	2
P-0006713-T01-IM5	40	3
P-0006718-T01-IM5	11	3
P-0006720-T01-IM5	0	1
P-0006747-T01-IM5	6	0
P-0006768-T03-IM6	3	10
P-0006776-T01-IM5	0	2
P-0006779-T01-IM5	0	4
P-0006783-T01-IM5	6	0
P-0006789-T01-IM5	1	1
P-0006793-T02-IM6	23	10
P-0006810-T01-IM5	0	3
P-0006814-T02-IM5	1	2
P-0006844-T01-IM5	1	3
P-0006855-T01-IM5	3	1
P-0006878-T01-IM5	5	0
P-0006886-T01-IM5	1	3
P-0006895-T01-IM5	22	13
P-0006896-T01-IM5	5	4
P-0006915-T01-IM5	2	3
P-0006920-T01-IM5	4	2
P-0006921-T01-IM5	0	2
P-0006924-T01-IM5	0	2
P-0006941-T01-IM5	0	2
P-0006942-T01-IM5	8	1
P-0006950-T01-IM5	3	0
P-0006954-T01-IM5	5	3
P-0006964-T01-IM5	1	0
P-0006965-T01-IM5	0	3
P-0006969-T01-IM5	0	5
P-0006993-T01-IM5	7	0
P-0006995-T01-IM5	2	1
P-0007004-T01-IM5	5	2
P-0007026-T01-IM5	1	5
P-0007029-T01-IM5	5	6
P-0007031-T01-IM5	2	1
P-0007044-T01-IM5	7	1
P-0007051-T01-IM5	1	12
P-0007054-T01-IM5	1	2
P-0007067-T01-IM5	4	4
P-0007074-T01-IM5	3	1
P-0007082-T01-IM5	0	1
P-0007083-T02-IM6	5	8
P-0007084-T02-IM5	4	4
P-0007088-T02-IM5	2	3
P-0007099-T01-IM5	8	3
P-0007101-T02-IM5	10	2
P-0007108-T01-IM5	4	3
P-0007114-T01-IM5	8	1
P-0007119-T01-IM5	22	0
P-0007121-T02-IM6	12	1
P-0007123-T01-IM5	8	1
P-0007125-T01-IM5	1	0
P-0007167-T01-IM5	0	9
P-0007170-T01-IM5	9	0
P-0007234-T01-IM5	3	1
P-0007236-T01-IM5	14	4
P-0007239-T01-IM5	4	0
P-0007240-T01-IM5	9	0
P-0007266-T02-IM6	0	3
P-0007278-T01-IM5	6	0
P-0007304-T01-IM5	1	0
P-0007309-T01-IM5	3	1
P-0007320-T01-IM5	3	3
P-0007322-T02-IM6	0	6
P-0007328-T01-IM5	9	2
P-0007345-T01-IM5	7	0
P-0007413-T01-IM5	0	2
P-0007418-T01-IM5	15	3
P-0007420-T01-IM5	2	0
P-0007422-T01-IM5	2	0
P-0007424-T02-IM5	1	0
P-0007487-T01-IM5	11	4
P-0007491-T01-IM5	0	4
P-0007493-T02-IM5	13	5
P-0007500-T01-IM5	0	1
P-0007507-T01-IM5	2	0
P-0007508-T01-IM5	0	5
P-0007509-T01-IM5	0	3
P-0007525-T01-IM5	0	1
P-0007532-T01-IM5	6	0
P-0007542-T01-IM5	11	0
P-0007545-T01-IM5	1	0
P-0007546-T01-IM5	2	2
P-0007549-T01-IM5	12	8
P-0007580-T01-IM5	1	2
P-0007582-T01-IM5	3	1
P-0007583-T01-IM5	11	0
P-0007587-T01-IM5	1	0
P-0007597-T01-IM5	10	6
P-0007619-T01-IM5	5	5
P-0007633-T01-IM5	1	0
P-0007634-T01-IM5	4	2
P-0007638-T01-IM5	10	0
P-0007643-T01-IM5	4	3
P-0007659-T02-IM6	1	2
P-0007663-T01-IM5	3	2
P-0007681-T01-IM5	0	4
P-0007705-T01-IM5	1	0
P-0007745-T01-IM5	0	1
P-0007753-T01-IM5	4	0
P-0007754-T01-IM5	0	4
P-0007775-T01-IM5	1	3
P-0007776-T01-IM5	6	0
P-0007779-T02-IM6	6	4
P-0007788-T05-IM6	8	5
P-0007813-T01-IM5	9	5
P-0007816-T01-IM5	6	0
P-0007841-T01-IM5	0	3
P-0007846-T01-IM5	1	1
P-0007847-T01-IM5	0	1
P-0007861-T01-IM5	0	2
P-0007864-T02-IM6	0	5
P-0007870-T02-IM6	0	3
P-0007879-T01-IM5	6	3
P-0007896-T01-IM5	0	3
P-0007901-T01-IM5	1	3
P-0007904-T01-IM5	1	0
P-0007916-T01-IM5	10	4
P-0007919-T01-IM5	1	0
P-0007978-T01-IM5	3	7
P-0008002-T01-IM5	5	10
P-0008029-T01-IM5	3	1
P-0008046-T01-IM5	6	1
P-0008078-T01-IM5	0	5
P-0008101-T01-IM5	1	3
P-0008126-T01-IM5	4	0
P-0008131-T01-IM5	4	2
P-0008132-T01-IM5	7	0
P-0008134-T01-IM5	0	7
P-0008152-T01-IM5	0	2
P-0008158-T01-IM5	4	3
P-0008160-T01-IM5	0	1
P-0008161-T02-IM5	2	0
P-0008176-T01-IM5	0	3
P-0008261-T01-IM5	8	3
P-0008282-T01-IM5	6	0
P-0008285-T01-IM5	1	3
P-0008291-T01-IM5	1	0
P-0008295-T01-IM5	5	1
P-0008297-T01-IM5	3	5
P-0008300-T01-IM5	9	0
P-0008307-T01-IM5	6	1
P-0008310-T01-IM5	0	3
P-0008324-T01-IM5	0	5
P-0008332-T01-IM5	3	1
P-0008359-T02-IM6	7	2
P-0008404-T02-IM5	2	9
P-0008406-T01-IM5	15	8
P-0008419-T01-IM5	16	2
P-0008426-T01-IM5	0	3
P-0008427-T01-IM5	0	1
P-0008428-T01-IM5	1	2
P-0008435-T01-IM5	4	0
P-0008438-T01-IM5	2	0
P-0008440-T02-IM6	4	0
P-0008442-T01-IM5	2	2
P-0008446-T01-IM5	1	1
P-0008465-T02-IM5	34	3
P-0008472-T01-IM5	2	2
P-0008476-T01-IM5	6	2
P-0008485-T01-IM5	3	3
P-0008487-T01-IM5	0	1
P-0008539-T01-IM5	6	5
P-0008549-T02-IM5	0	2
P-0008553-T01-IM5	7	1
P-0008576-T01-IM5	5	0
P-0008577-T01-IM5	2	8
P-0008589-T02-IM5	0	2
P-0008599-T02-IM6	2	0
P-0008601-T02-IM6	0	4
P-0008602-T01-IM5	2	0
P-0008645-T02-IM6	2	0
P-0008654-T01-IM5	1	0
P-0008664-T01-IM5	0	4
P-0008665-T02-IM6	5	16
P-0008668-T01-IM5	2	0
P-0008678-T01-IM5	7	0
P-0008705-T02-IM6	0	5
P-0008715-T01-IM5	1	15
