Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0040107-T01-IM6	7	13	1	0	21	0	2	0
P-0040121-T01-IM6	4	6	7	2	10	0	4	17
P-0040182-T01-IM6	1	11	1	0	17	0	11	0
P-0040250-T01-IM6	15	21	0	2	0	0	3	0
P-0040355-T01-IM6	10	5	3	0	0	0	2	10
P-0040373-T01-IM6	6	10	9	0	10	0	4	12
P-0040484-T01-IM6	7	7	3	0	0	3	3	0
P-0040678-T01-IM6	20	13	5	0	9	0	2	0
P-0040787-T01-IM6	6	9	13	133	0	12	0	0
P-0041005-T01-IM6	13	20	4	0	5	0	21	10
P-0041144-T01-IM6	12	9	7	0	16	10	4	0
P-0041213-T01-IM6	6	4	1	0	1	14	0	0
P-0041436-T01-IM6	11	11	0	2	15	0	5	4
P-0041542-T01-IM6	4	6	10	0	0	1	0	0
P-0041648-T01-IM6	34	5	9	2	0	9	10	0
P-0041855-T01-IM6	21	6	1	3	0	29	16	3
P-0041986-T01-IM6	14	7	8	0	22	0	3	0
P-0042503-T01-IM6	8	5	0	2	9	0	9	7
P-0042615-T01-IM6	15	0	1	2	0	19	1	0
P-0042737-T01-IM6	12	11	7	0	0	0	12	0
P-0042880-T01-IM6	6	0	4	0	0	13	4	0
P-0043005-T01-IM6	20	13	11	2	8	1	10	0
P-0043052-T01-IM6	33	5	12	0	13	22	8	0
P-0043087-T01-IM6	20	18	10	0	15	0	2	22
P-0043095-T01-IM6	18	6	7	0	6	0	3	16
P-0043154-T01-IM6	13	5	7	2	20	0	5	0
P-0043169-T01-IM6	0	4	0	0	2	11	0	1
P-0043595-T01-IM6	21	5	9	0	2	13	5	1
P-0043599-T01-IM6	8	1	0	2	0	12	0	16
P-0043781-T01-IM6	4	1	2	0	6	1	0	22
P-0043907-T01-IM6	29	0	3	0	11	0	4	3
P-0044184-T01-IM6	9	10	1	0	5	17	11	0
P-0044217-T01-IM6	8	1	0	0	6	0	3	3
P-0044329-T01-IM6	22	3	1	0	0	8	7	11
P-0044371-T01-IM6	8	5	5	0	0	0	0	48
P-0044406-T01-IM6	5	5	6	0	21	0	0	0
P-0044484-T01-IM6	8	10	4	2	14	0	0	0
P-0044540-T01-IM6	3	21	5	5	9	0	0	2
P-0044544-T01-IM6	12	2	0	0	13	5	2	2
P-0044576-T01-IM6	8	2	0	1	14	0	0	7
P-0044645-T01-IM6	53	24	0	1	6	0	1	0
P-0044666-T01-IM6	5	12	0	0	0	10	0	2
P-0044791-T01-IM6	18	15	0	0	8	0	0	0
P-0044805-T01-IM6	12	4	5	0	7	0	2	1
P-0044833-T01-IM6	27	2	3	0	0	10	17	0
P-0044858-T01-IM6	14	1	1	2	3	0	0	8
P-0045009-T01-IM6	5	10	3	0	0	5	2	1
P-0045111-T01-IM6	15	3	6	2	0	12	13	0
P-0045223-T01-IM6	2	5	2	0	0	0	0	12
P-0045253-T01-IM6	5	6	1	0	21	0	0	5
P-0045320-T01-IM6	9	3	6	0	0	2	5	5
P-0045366-T01-IM6	10	9	0	0	2	7	0	5
P-0045460-T01-IM6	1	4	4	0	14	3	3	0
P-0045471-T01-IM6	0	13	3	0	4	0	0	3
P-0045547-T01-IM6	4	1	1	2	5	3	2	0
P-0045569-T01-IM6	23	16	1	0	1	3	9	15
P-0045713-T01-IM6	9	0	3	0	2	7	0	0
P-0045823-T01-IM6	4	15	1	0	9	0	9	0
P-0045984-T01-IM6	24	6	9	0	9	6	0	0
P-0046035-T01-IM6	5	2	0	3	16	0	0	0
P-0046229-T01-IM6	5	3	0	1	4	16	0	2
P-0046266-T01-IM6	5	3	1	0	20	0	12	0
P-0046311-T01-IM6	7	3	9	2	0	3	2	2
P-0046312-T01-IM6	22	0	0	2	0	13	0	0
P-0046394-T01-IM6	15	3	0	1	7	8	1	0
P-0046492-T01-IM6	13	1	9	0	0	6	6	0
P-0046698-T01-IM6	32	24	10	0	3	10	17	5
P-0046738-T01-IM6	4	13	1	0	0	3	3	0
P-0046739-T01-IM6	12	13	3	0	18	0	0	0
P-0046759-T01-IM6	12	13	0	2	2	0	1	10
P-0046843-T01-IM6	26	7	7	0	15	0	0	16
P-0046954-T01-IM6	0	0	0	0	8	2	0	0
P-0047056-T01-IM6	11	15	7	0	23	7	9	6
P-0047121-T01-IM6	12	6	3	0	2	0	0	2
P-0047196-T01-IM6	12	5	1	0	0	12	0	0
P-0047599-T01-IM6	43	9	16	0	12	0	11	0
P-0047601-T01-IM6	0	11	2	0	10	0	2	5
P-0047632-T01-IM6	11	18	3	0	13	0	4	0
P-0047822-T01-IM6	12	0	2	0	6	14	8	4
P-0047850-T01-IM6	18	5	5	0	19	0	2	0
P-0047862-T01-IM6	4	11	3	0	13	0	4	0
P-0047886-T01-IM6	8	6	5	2	15	0	0	12
P-0048082-T01-IM6	13	0	3	0	22	0	2	0
P-0048215-T01-IM6	0	68	196	166	0	25	8	7
P-0048221-T01-IM6	21	19	5	0	3	28	0	2
P-0048257-T01-IM6	0	7	2	4	12	0	9	0
P-0048271-T01-IM6	17	0	6	0	0	2	2	0
P-0048660-T01-IM6	11	2	1	0	3	1	0	7
P-0048893-T01-IM6	9	4	4	2	20	0	2	0
P-0049064-T01-IM6	0	14	7	0	13	7	0	10
P-0049202-T01-IM6	0	5	41	122	0	0	5	0
P-0049359-T01-IM6	9	0	4	0	16	0	0	0
P-0049376-T01-IM6	17	0	5	0	13	0	6	4
P-0049486-T01-IM6	5	6	0	0	0	4	0	5
P-0049600-T01-IM6	5	3	1	0	0	4	4	0
P-0049633-T01-IM6	4	9	0	0	5	0	3	8
P-0049661-T01-IM6	8	5	2	0	0	19	0	0
P-0049762-T01-IM6	4	12	5	0	8	0	4	0
P-0049970-T01-IM6	11	8	6	4	26	0	5	0
P-0050263-T01-IM6	0	0	139	142	0	0	0	0
P-0050266-T01-IM6	4	0	4	2	10	14	13	0
