Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
P-0047599-T01-IM6	50	5	17	7	0	12	0
P-0047601-T01-IM6	3	11	3	0	0	3	10
P-0047632-T01-IM6	17	20	3	0	0	8	1
P-0047822-T01-IM6	12	0	3	17	0	9	5
P-0047850-T01-IM6	27	1	6	6	0	6	3
P-0047862-T01-IM6	9	11	3	2	0	6	4
P-0047886-T01-IM6	13	4	5	0	2	2	22
P-0048082-T01-IM6	18	0	4	9	0	5	4
P-0048215-T01-IM6	0	85	218	0	167	0	0
P-0048221-T01-IM6	23	22	5	28	0	0	0
P-0048257-T01-IM6	3	7	3	0	5	12	4
P-0048271-T01-IM6	16	0	6	2	0	3	0
P-0048660-T01-IM6	11	2	0	3	0	0	9
P-0048893-T01-IM6	18	1	6	1	2	8	5
P-0049064-T01-IM6	3	15	8	8	0	0	17
P-0049202-T01-IM6	0	6	42	0	122	3	0
P-0049359-T01-IM6	15	0	6	0	0	5	3
P-0049376-T01-IM6	21	0	5	0	0	9	10
P-0049486-T01-IM6	6	7	0	2	0	0	5
P-0049600-T01-IM6	4	4	1	4	0	4	0
P-0049633-T01-IM6	5	10	0	0	0	4	10
P-0049661-T01-IM6	8	6	2	18	0	0	0
P-0049762-T01-IM6	8	13	6	0	0	6	0
P-0049970-T01-IM6	22	5	8	0	4	12	9
P-0050263-T01-IM6	0	0	145	0	136	0	0
P-0050266-T01-IM6	5	0	5	19	2	16	0
