Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0036334-T01-IM6	6.21E-01	6.77E-01	4.33E-01	4.15E-01	1.76E-01
P-0036369-T01-IM6	7.07E-01	7.22E-01	5.37E-01	5.28E-01	2.78E-01
P-0036380-T01-IM6	4.72E-01	7.02E-01	5.57E-01	5.97E-01	3.20E-01
P-0036500-T01-IM6	8.52E-01	8.31E-01	5.84E-01	3.72E-01	7.74E-02
P-0036503-T01-IM6	4.75E-01	1.07E+00	2.80E+00	2.64E-01	2.40E+00
P-0036831-T01-IM6	4.92E-01	6.03E-01	4.88E-01	5.46E-01	2.73E-01
P-0036852-T01-IM6	5.76E-01	7.58E-01	7.55E-01	6.82E-01	2.82E-01
P-0036924-T01-IM6	4.84E-01	4.08E-01	9.80E-01	9.12E-01	6.96E-02
P-0037227-T01-IM6	4.82E-01	3.45E-01	4.97E-01	5.49E-01	1.26E-01
P-0037246-T01-IM6	3.80E-01	5.22E-01	3.59E-01	3.15E-01	1.59E-01
P-0037410-T01-IM6	6.17E-01	9.50E-01	1.02E+00	8.09E-01	1.91E-01
P-0037531-T01-IM6	5.69E-02	5.31E-01	9.51E-01	5.42E-01	1.05E+00
P-0037582-T01-IM6	5.22E-01	6.60E-01	4.37E-01	4.47E-01	3.59E-02
P-0037838-T02-IM6	4.99E-01	4.06E-01	5.02E-01	4.90E-01	1.12E-01
P-0037867-T01-IM6	5.76E-01	5.79E-01	6.58E-01	7.95E-01	3.33E-01
P-0037875-T01-IM6	6.28E-01	7.59E-01	7.14E-01	6.02E-01	1.98E-01
P-0037898-T01-IM6	3.89E-01	1.13E+00	3.25E+00	1.11E-01	2.89E+00
P-0038159-T01-IM6	5.04E-01	4.49E-01	3.78E-01	4.24E-01	0.00E+00
P-0038378-T01-IM6	4.97E-01	5.42E-01	5.58E-01	5.30E-01	9.77E-02
P-0038553-T01-IM6	5.58E-01	8.43E-01	9.31E-01	9.76E-01	5.34E-02
P-0038612-T02-IM6	4.42E-01	5.45E-01	4.46E-01	4.48E-01	2.43E-02
P-0038638-T01-IM6	4.58E-01	5.74E-01	6.04E-01	5.66E-01	1.41E-01
P-0038880-T01-IM6	7.60E-01	7.11E-01	7.03E-01	5.50E-01	2.30E-01
P-0038908-T01-IM6	3.29E-01	3.04E-01	4.07E-01	3.63E-01	1.48E-01
P-0039283-T01-IM6	1.10E+00	1.20E+00	8.81E-01	8.94E-01	2.47E-01
P-0039441-T01-IM6	5.01E-01	5.52E-01	5.23E-01	4.34E-01	0.00E+00
P-0039443-T01-IM6	7.01E-01	7.80E-01	4.51E-01	3.75E-01	1.69E-01
P-0039589-T01-IM6	1.20E+00	1.84E+00	1.66E+00	1.18E+00	4.03E-01
P-0039800-T01-IM6	5.26E-01	5.09E-01	2.51E-01	1.88E-01	0.00E+00
P-0039938-T01-IM6	7.36E-01	8.89E-01	7.43E-01	5.84E-01	2.25E-01
P-0039999-T01-IM6	5.72E-01	6.45E-01	8.35E-01	7.97E-01	0.00E+00
P-0040021-T01-IM6	4.92E-01	5.31E-01	5.43E-01	5.07E-01	1.65E-01
P-0040107-T01-IM6	5.22E-01	6.42E-01	6.02E-01	5.69E-01	4.19E-02
P-0040121-T01-IM6	5.34E-01	7.29E-01	6.84E-01	7.24E-01	2.47E-01
P-0040182-T01-IM6	4.77E-01	7.16E-01	7.93E-01	6.31E-01	1.73E-01
P-0040250-T01-IM6	7.07E-01	7.57E-01	4.17E-01	3.52E-01	1.31E-01
P-0040355-T01-IM6	4.14E-01	4.98E-01	3.87E-01	4.80E-01	3.94E-02
P-0040373-T01-IM6	6.68E-01	6.45E-01	5.90E-01	6.65E-01	1.63E-01
P-0040484-T01-IM6	4.45E-01	4.63E-01	3.77E-01	1.61E-01	2.00E-02
P-0040678-T01-IM6	5.51E-01	5.46E-01	4.12E-01	3.35E-01	0.00E+00
P-0040787-T01-IM6	5.59E-01	8.42E-01	1.87E+00	3.42E-01	1.73E+00
P-0041005-T01-IM6	7.94E-01	1.03E+00	9.67E-01	9.94E-01	4.00E-02
P-0041144-T01-IM6	6.00E-01	8.01E-01	7.02E-01	6.66E-01	1.11E-01
P-0041213-T01-IM6	4.25E-01	5.19E-01	4.41E-01	2.48E-01	5.22E-02
P-0041436-T01-IM6	6.92E-01	7.44E-01	6.55E-01	6.33E-01	1.41E-01
P-0041542-T01-IM6	5.14E-01	4.19E-01	3.53E-01	1.71E-01	3.06E-01
P-0041648-T01-IM6	8.25E-01	8.75E-01	6.69E-01	4.42E-01	2.13E-01
P-0041855-T01-IM6	9.01E-01	9.83E-01	1.27E+00	9.13E-01	3.01E-01
P-0041986-T01-IM6	5.43E-01	5.66E-01	5.32E-01	5.85E-01	1.00E-02
P-0042503-T01-IM6	5.01E-01	5.93E-01	6.44E-01	6.76E-01	1.42E-01
P-0042615-T01-IM6	5.45E-01	5.25E-01	3.16E-01	3.07E-01	1.56E-01
P-0042737-T01-IM6	6.46E-01	7.04E-01	5.19E-01	3.71E-01	7.00E-02
P-0042880-T01-IM6	4.54E-01	5.20E-01	3.69E-01	3.44E-01	2.69E-01
P-0043005-T01-IM6	7.95E-01	8.19E-01	6.55E-01	4.33E-01	3.16E-01
P-0043052-T01-IM6	8.32E-01	1.07E+00	7.74E-01	7.04E-01	0.00E+00
P-0043087-T01-IM6	7.94E-01	9.62E-01	7.14E-01	7.98E-01	2.00E-02
P-0043095-T01-IM6	5.82E-01	6.48E-01	7.16E-01	7.26E-01	2.43E-01
P-0043154-T01-IM6	6.41E-01	5.74E-01	6.17E-01	4.96E-01	1.86E-01
P-0043169-T01-IM6	2.09E-01	4.18E-01	3.89E-01	4.44E-01	0.00E+00
P-0043595-T01-IM6	6.41E-01	6.72E-01	5.96E-01	5.47E-01	0.00E+00
P-0043599-T01-IM6	4.65E-01	6.60E-01	6.53E-01	7.77E-01	1.83E-01
P-0043781-T01-IM6	3.67E-01	5.32E-01	6.31E-01	7.67E-01	9.97E-02
P-0043907-T01-IM6	5.83E-01	5.72E-01	4.81E-01	5.21E-01	0.00E+00
P-0044184-T01-IM6	6.46E-01	9.46E-01	9.48E-01	6.51E-01	1.00E-02
P-0044217-T01-IM6	3.67E-01	3.95E-01	3.54E-01	4.00E-01	0.00E+00
P-0044329-T01-IM6	5.55E-01	7.27E-01	6.75E-01	6.42E-01	0.00E+00
P-0044371-T01-IM6	6.64E-01	1.13E+00	9.06E-01	1.16E+00	1.17E-01
P-0044406-T01-IM6	5.51E-01	3.77E-01	5.76E-01	5.98E-01	5.37E-02
P-0044484-T01-IM6	5.23E-01	5.61E-01	4.33E-01	3.78E-01	2.41E-01
P-0044540-T01-IM6	6.44E-01	7.42E-01	6.48E-01	5.89E-01	3.03E-01
